id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
43904288,"Vierbettzimmer mit Etagenbad im Hostel, Innenstadt",308052561,Euro Youth Hotel,,Ludwigsvorstadt-Isarvorstadt,48.1385,11.56028,Private room,500,1,25,2020-08-07,2.10,12,91
43905059,"Fünfbettzimmer mit Etagenbad im Hostel, Innenstadt",308052561,Euro Youth Hotel,,Ludwigsvorstadt-Isarvorstadt,48.1385,11.56028,Private room,486,1,17,2020-09-06,1.44,12,101
43905484,"6-Bettzimmer mit Etagenbad im Hostel, Innenstadt",308052561,Euro Youth Hotel,,Ludwigsvorstadt-Isarvorstadt,48.1385,11.56028,Private room,600,1,14,2021-06-27,1.33,12,86
43905987,"Einzelzimmer mit Etagenbad im Hostel, Innenstadt",308052561,Euro Youth Hotel,,Ludwigsvorstadt-Isarvorstadt,48.1385,11.56028,Private room,300,1,46,2020-09-20,3.97,12,93
43906801,"Vierbettzimmer mit Privatbad im Hostel, Innenstadt",308052561,Euro Youth Hotel,,Ludwigsvorstadt-Isarvorstadt,48.1385,11.56028,Private room,700,1,8,2020-09-09,0.67,12,94
43907428,"Fünfbettzimmer mit Privatbad im Hostel, Innenstadt",308052561,Euro Youth Hotel,,Ludwigsvorstadt-Isarvorstadt,48.1385,11.56028,Private room,750,1,10,2021-06-23,0.84,12,76
43924861,Stylish appartment with balcony and free parking,351678721,Dominik,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09968,11.50176,Entire home/apt,49,7,5,2021-06-16,0.46,1,56
43937381,"Saubere, gemütliche und Ruhige Stadt Wohnung",116121445,Mina,,Neuhausen-Nymphenburg,48.15572,11.54576,Entire home/apt,78,1,5,2020-12-29,0.53,1,365
43954504,Bavaria Lounge Gold,199130286,Andi,,Laim,48.14359,11.50412,Entire home/apt,59,4,4,2020-09-18,0.38,4,0
43961975,München Isarnah und direkt im Zentrum,96975010,Anna,,Untergiesing-Harlaching,48.11772,11.57121,Entire home/apt,80,5,7,2021-05-21,0.65,1,76
43964368,Gemütliche 80qm Altbauwohnung in top Lage,352115986,Rike,,Schwabing-West,48.16799,11.57973,Entire home/apt,120,7,0,,,1,0
43965807,Attic in Obersendling,167736526,Martín,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.10006,11.53838,Entire home/apt,80,1,0,,,1,180
43967828,"Calm modern appartment, at the park, Metro,central",47007070,Martina,,Ramersdorf-Perlach,48.1026,11.65611,Entire home/apt,99,2,6,2021-02-27,0.53,1,227
43974951,Gemütliche 2-Zimmer Wohnung direkt an der U1/U2,46606365,Daniel,,Au-Haidhausen,48.12072,11.57528,Entire home/apt,45,4,4,2021-04-11,0.35,1,11
43975586,Flatista Boutique Hotel- Double room shared toilet,7901771,Thomas,,Schwabing-Freimann,48.1521,11.58495,Private room,62,1,103,2020-11-22,8.56,14,309
43982041,Cozy Two Room Apartment in Schwabing West,20422895,Marcello,,Schwabing-West,48.1624,11.56181,Entire home/apt,38,90,2,2020-11-01,0.18,1,0
43992355,Business Zimmer mit Kitchenette im Zentrum,178592257,Schiller5,,Ludwigsvorstadt-Isarvorstadt,48.13764,11.56222,Private room,109,1,0,,,5,120
